state,road,sample_ID,distance_cm,avg_outlier,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,sus_avg,sus_stdv,traffic_vol,traffic_class
Georgia,Walnut Avenue,W50,50,average,0.000559,0.000675,0.000662,0.000754,0.000759,0.000741,0.00075,,,,,0.0007,7.36297E-05,25500.00,high
Georgia,Walnut Avenue,W100,100,average,0.000593,0.000562,0.00054,0.000554,0.000526,0.000626,,,,,,0.000566833,3.67718E-05,25500.00,high
Georgia,Walnut Avenue,W250,250,average,0.000391,0.000373,0.000363,0.000619,0.000602,0.000556,,,,,,0.000484,0.000120784,25500.00,high
Georgia,Walnut Avenue,W350,350,average,0.000334,0.000316,0.000303,0.000385,0.000432,0.000369,,,,,,0.0003565,4.8327E-05,25500.00,high
Georgia,Walnut Avenue,W450,450,average,0.000335,0.000309,0.000312,0.000279,0.000232,0.000238,,,,,,0.000284167,4.20829E-05,25500.00,high
Georgia,Walnut Avenue,W600,600,average,0.000229,0.000222,0.000224,0.000222,0.000215,0.000237,,,,,,0.000224833,7.46771E-06,25500.00,high
Georgia,Babb Road,BA10,10,average,0.000219,0.000228,0.00021,0.000148,0.000162,0.000137,,,,,,0.000184,3.95626E-05,,low
Georgia,Babb Road,BA50,50,average,0.000143,0.000146,0.000155,0.000137,0.000144,0.00015,,,,,,0.000145833,6.17792E-06,,low
Georgia,Babb Road,BA100,100,average,0.000203,0.000228,0.00023,0.000185,0.000207,0.000172,,,,,,0.000204167,2.3008E-05,,low
Georgia,Babb Road,BA150,150,average,0.000235,0.000258,0.00025,0.000269,0.000267,0.000267,,,,,,0.000257667,1.32313E-05,,low
Georgia,Babb Road,BA200,200,average,0.000284,0.00029,0.000292,0.000347,0.000325,0.000345,,,,,,0.000313833,2.87431E-05,,low
Georgia,Babb Road,BA300,300,average,0.000207,0.000209,0.000214,0.000175,0.000189,0.000197,,,,,,0.0001985,1.46116E-05,,low
Georgia,Babb Road,BA400,400,average,0.0004,0.000379,0.000383,0.000387,0.000419,0.000468,,,,,,0.000406,3.3669E-05,,low
Georgia,Babb Road,BA500,500,average,0.000161,0.000161,0.00016,0.000428,0.000376,0.000386,,,,,,0.000278667,0.000130436,,low
Georgia,Babb Road,BA600,600,average,0.000165,0.000176,0.000169,0.000164,0.000148,0.000148,,,,,,0.000161667,1.13959E-05,,low
Georgia,Mill Creek Road,M10,10,average,0.000209,0.000226,0.000287,0.000408,0.000435,0.000337,,,,,,0.000317,9.32202E-05,1390.00,low
Georgia,Mill Creek Road,M50,50,average,0.000519,0.000475,0.000441,0.000481,0.000513,0.000487,,,,,,0.000486,2.82489E-05,1390.00,low
Georgia,Mill Creek Road,M100,100,average,0.000509,0.000547,0.000573,0.000358,0.0003,0.000256,,,,,,0.000423833,0.000136023,1390.00,low
Georgia,Mill Creek Road,M150,150,average,0.000201,0.00022,0.000222,0.000395,0.000352,0.000381,,,,,,0.000295167,8.99276E-05,1390.00,low
Georgia,Mill Creek Road,M200,200,average,0.000202,0.000225,0.000227,0.000265,0.000277,0.000283,,,,,,0.0002465,3.29469E-05,1390.00,low
Georgia,Mill Creek Road,M300,300,average,0.000159,0.00019,0.000224,0.000224,0.00025,0.00027,,,,,,0.0002195,4.01285E-05,1390.00,low
Georgia,Mill Creek Road,M400,400,average,0.000305,0.000299,0.000287,0.000237,0.000278,0.000274,,,,,,0.00028,2.41826E-05,1390.00,low
Georgia,Mill Creek Road,M500,500,average,0.000243,0.000249,0.000223,0.000102,0.000125,0.000096,0.000147,,,,,0.000169286,6.71186E-05,1390.00,low
Georgia,Mill Creek Road,M600,600,average,0.000139,0.00012,0.000104,0.0001,0.00007,0.000073,,,,,,0.000101,2.66833E-05,1390.00,low
Georgia,Old Babb Road,OB10,10,average,0.000699,0.0008,0.000744,0.000724,0.000372,0.000389,0.000338,,,,,0.000580857,0.00020351,,low
Georgia,Old Babb Road,OB50,50,average,0.000348,0.000282,0.000327,0.00038,0.000384,0.000275,,,,,,0.000332667,4.69794E-05,,low
Georgia,Old Babb Road,OB100,100,average,0.000441,0.000392,0.000419,0.00043,0.000422,0.000404,,,,,,0.000418,1.76748E-05,,low
Georgia,Old Babb Road,OB150,150,average,0.000213,0.000205,0.000239,0.000664,0.000681,0.00065,,,,,,0.000442,0.00024474,,low
Georgia,Old Babb Road,OB200,200,average,0.000141,0.000133,0.000135,0.000211,0.000209,0.000231,,,,,,0.000176667,4.49251E-05,,low
Georgia,Old Babb Road,OB300,300,average,0.000365,0.000346,0.000308,0.000054,0.000036,0.000067,,,,,,0.000196,0.000158751,,low
Georgia,Old Babb Road,OB400,400,average,0.000146,0.000129,0.000126,0.000212,0.000212,0.000238,,,,,,0.000177167,4.90649E-05,,low
